order_id,order_date,order_time,customer_id,total_amount
1,2023-08-19,20:35:04,1210,3565.53
2,2022-11-09,04:28:59,30,1528.17
3,2020-06-07,06:44:57,1046,2255.62
4,2022-03-11,00:23:10,488,737.33
5,2023-05-30,07:08:16,3766,4430.61
6,2022-12-01,11:52:30,3625,2266.22
7,2021-04-05,19:19:36,498,1634.57
8,2021-01-23,23:23:34,380,4041.31
9,2022-10-25,12:01:19,2726,4826.66
10,2020-03-30,00:34:25,4905,3956.61
11,2021-03-15,20:24:16,4348,1202.0
12,2021-05-13,09:20:30,768,2342.17
13,2023-03-26,10:07:18,3713,1139.41
14,2021-06-27,10:22:25,1358,4656.54
15,2023-01-06,07:51:26,756,2891.37
16,2021-09-21,00:38:55,2685,365.64
17,2023-09-20,20:27:01,125,3909.08
18,2023-02-03,15:01:21,4126,1344.18
19,2021-04-18,12:38:44,4382,2522.24
20,2021-09-27,22:22:33,189,1379.11
21,2022-09-03,03:24:34,1020,3949.68
22,2021-08-22,03:48:42,3838,3644.77
23,2022-12-18,00:48:22,2810,659.18
24,2023-09-09,14:10:49,3498,3956.71
25,2021-12-11,04:12:18,840,1634.32
26,2022-11-25,19:33:12,2279,2052.89
27,2021-06-11,04:32:22,2646,4875.46
28,2020-07-08,06:15:03,3452,559.65
29,2021-06-23,06:53:57,4357,4580.95
30,2020-03-18,07:05:41,3196,2403.08
31,2021-11-11,03:18:25,150,2521.31
32,2021-02-01,06:27:06,4098,2049.26
33,2022-02-07,01:41:53,789,959.91
34,2020-04-24,13:16:00,4971,2107.05
35,2021-03-12,12:09:10,4182,510.97
36,2021-07-03,12:16:19,1624,2660.91
37,2021-04-22,12:49:05,4560,897.78
38,2021-10-15,22:04:48,2188,1702.15
39,2022-12-08,08:09:48,3785,347.11
40,2021-10-09,19:52:30,923,1671.96
41,2020-07-07,19:12:29,2556,246.6
42,2021-02-06,09:09:58,4068,3159.7
43,2020-11-20,13:23:33,2882,4793.81
44,2021-10-06,06:21:37,1345,3394.87
45,2021-10-23,14:13:12,2270,644.09
46,2021-02-11,07:19:09,3828,2636.08
47,2022-09-05,02:58:43,3836,3702.1
48,2020-02-01,11:22:02,3102,1431.51
49,2022-05-06,18:36:55,1564,4813.96
50,2022-08-29,10:19:44,1706,3744.58
51,2023-02-09,11:43:38,2958,3666.88
52,2020-07-10,23:52:42,1580,3414.45
53,2022-01-15,15:04:44,194,3826.45
54,2021-01-05,19:17:23,1387,362.49
55,2021-02-22,17:59:21,1527,2964.54
56,2020-07-13,04:35:11,2795,3457.59
57,2021-03-11,07:17:07,3639,4416.26
58,2020-01-15,21:53:06,1866,1112.73
59,2021-07-06,01:50:46,1790,3789.94
60,2021-02-24,23:44:36,3624,1835.24
61,2022-09-02,13:31:26,245,1980.24
62,2020-02-02,22:17:20,2538,1994.88
63,2021-10-23,21:56:19,4480,1708.01
64,2020-09-14,00:19:10,1874,3865.91
65,2020-04-11,14:02:43,1245,4505.09
66,2020-04-26,12:35:17,3521,2398.39
67,2023-02-09,00:04:32,2859,4292.94
68,2022-08-25,20:36:23,4601,915.01
69,2020-06-21,13:58:15,1313,3678.05
70,2021-06-16,04:06:53,1774,2941.99
71,2023-01-06,12:54:03,2569,3144.2
72,2023-02-27,11:02:31,1099,3816.73
73,2023-07-07,03:37:15,1257,1345.26
74,2020-07-27,05:24:27,4122,3180.75
75,2022-12-10,08:06:20,2690,3245.99
76,2020-06-13,20:07:42,423,3908.55
77,2022-07-15,05:44:02,2361,3665.45
78,2021-03-18,02:42:44,478,2790.38
79,2022-09-15,07:21:47,3357,2523.33
80,2021-02-16,01:13:07,408,924.25
81,2020-06-01,02:37:43,4063,3977.46
82,2021-05-01,17:57:42,444,4644.73
83,2021-09-20,00:14:57,2635,491.51
84,2022-09-27,16:47:44,792,2615.47
85,2022-04-20,17:40:51,3678,4848.66
86,2023-07-18,18:39:27,4881,3243.42
87,2020-08-08,05:07:58,4576,2515.08
88,2021-07-16,20:57:30,4849,4093.58
89,2022-10-03,03:06:01,3067,3753.35
90,2023-09-08,19:34:43,1452,4895.14
91,2022-10-14,09:31:48,4524,2040.71
92,2022-06-19,22:10:21,2357,4214.75
93,2021-08-04,03:19:18,529,4495.46
